Platform name, Total Gap Time, Average Gap Time, Min Value, Max Flight Time 
AK,570:04:15:31,17:19:37:59,-962,00:02:46:29
AKAW,325:15:07:23,46:12:26:46,-887,00:02:30:21
AKC,536:14:57:48,67:01:52:13,-950,00:02:34:55
AKI,454:15:35:09,151:13:11:43,-145,00:02:11:51
AKMJ,474:14:15:16,43:03:28:39,-890,00:02:23:31
AKOL,527:14:39:30,43:23:13:17,-891,00:02:24:15
AKPC,518:15:52:14,47:03:37:28,-427,00:02:16:15
AKQ,516:09:22:23,57:09:02:29,-888,00:02:29:23
AKRM,572:07:43:59,44:00:35:41,-861,00:02:44:34
AKRN,348:18:59:45,58:03:09:57,-964,00:02:37:52
AKUV,528:02:01:09,26:09:42:03,-942,00:02:41:53
AKV,450:11:01:43,50:01:13:31,-697,00:02:12:08
AKX,484:19:37:35,60:14:27:11,-848,00:02:19:12
AL,535:11:41:17,16:05:26:42,-980,00:02:46:12
ALHQ,407:03:27:59,50:21:25:59,-776,00:01:52:52
ALK,516:13:56:18,36:21:34:01,-564,00:02:45:00
ALKE,562:08:10:21,70:07:01:17,-852,00:02:34:04
ALKO,425:02:58:06,106:06:44:31,-717,00:01:53:52
ALLY,496:09:52:59,55:03:45:53,-884,00:02:15:22
ALOD,377:05:47:47,53:21:23:58,-837,00:02:28:35
ALT,503:11:20:00,41:22:56:40,-813,00:02:27:46
ALW,368:07:17:50,73:15:51:34,-894,00:02:17:07
ALZ,495:12:33:48,55:01:23:45,-773,00:02:42:48
AM,531:22:14:39,10:00:52:21,-991,00:02:37:02
AMEJ,521:23:33:39,57:23:57:04,-720,00:02:45:28
AMGE,476:01:04:02,59:12:08:00,-914,00:02:35:34
AMI,566:13:25:25,70:19:40:40,-937,00:02:44:47
AMNC,262:05:50:47,87:09:56:55,-962,00:02:31:11
AMOS,503:14:08:09,50:08:36:48,-635,00:02:27:29
AMP,342:13:23:39,57:02:13:56,-800,00:02:27:24
AMS,555:20:40:44,61:18:17:51,-996,00:02:40:14
AMT,565:17:40:41,51:10:20:03,-757,00:02:42:16
AMUK,424:12:11:33,60:15:27:21,-660,00:02:38:39
AMWH,420:11:49:37,84:02:21:55,-972,00:02:44:39
AMYQ,516:23:57:15,39:18:27:28,-961,00:02:41:44
AN,571:03:19:06,27:04:43:46,-957,00:02:36:28
ANG,463:07:39:06,51:11:31:00,-787,00:02:17:51
ANJL,234:08:24:56,234:08:24:56,-343,00:02:34:15
ANL,351:04:43:22,70:05:44:40,-956,00:02:46:26
ANM,551:09:58:18,26:06:11:20,-943,00:02:45:17
AO,562:04:38:07,18:17:45:16,-965,00:02:44:00
AOGZ,493:01:41:45,70:10:31:40,-849,00:02:09:57
AOI,556:00:12:29,39:17:09:27,-873,00:02:40:31
AOZ,403:07:05:27,33:14:35:27,-934,00:02:40:21
AP,567:18:23:29,11:03:11:02,-973,00:02:43:14
APB,452:20:51:39,90:13:46:19,-557,00:02:24:28
APE,531:04:41:52,59:00:31:19,-891,00:02:39:45
APH,494:06:10:48,70:14:35:49,-537,00:02:16:21
APLU,448:19:56:36,40:19:16:03,-910,00:02:24:09
APQ,373:12:22:38,74:16:52:31,-160,00:01:58:20
APWC,489:10:35:23,48:22:39:32,-955,00:02:34:17
AQ,504:06:59:29,28:00:23:18,-874,00:02:35:30
AQC,480:00:02:31,43:15:16:35,-972,00:02:20:24
AQHB,484:12:57:12,60:13:37:09,-490,00:02:35:54
AQL,444:08:39:34,74:01:26:35,-808,00:02:43:28
AQO,493:00:51:42,98:14:34:20,-389,00:02:30:19
AQTP,453:20:15:40,75:15:22:36,-807,00:02:22:59
AQY,471:23:34:23,78:15:55:43,-586,00:02:23:22
AR,460:03:26:20,32:20:49:01,-980,00:02:32:01
ARFC,522:01:42:55,52:04:58:17,-732,00:01:59:05
ARL,416:10:53:51,37:20:37:37,-939,00:02:45:39
ART,378:06:33:18,42:00:43:42,-995,00:02:20:22
ARZF,559:20:29:25,69:23:33:40,-496,00:02:25:56
AS,510:14:18:45,25:12:42:56,-919,00:02:37:01
ASD,462:22:02:06,51:10:26:54,-623,00:02:14:31
ASQ,498:02:06:37,62:06:15:49,-587,00:02:46:37
ASQM,427:18:20:52,42:18:38:05,-931,00:02:34:18
ASS,427:11:57:30,38:20:43:24,-959,00:02:17:50
ASTR,517:21:28:15,57:13:03:08,-487,00:02:40:11
ASU,346:22:41:02,115:15:33:40,0,00:00:44:52
ASUT,269:03:44:06,33:15:28:00,-885,00:01:53:38
ASW,439:00:46:31,62:17:15:13,-657,00:02:44:42
ASX,466:02:46:32,38:20:13:52,-875,00:02:42:35
AT,562:22:46:58,11:23:27:48,-952,00:02:45:18
ATA,465:23:13:59,66:13:36:17,-627,00:02:40:14
ATBW,440:01:27:50,40:00:07:59,-954,00:02:20:46
ATJ,402:00:33:30,67:00:05:35,-996,00:02:43:51
ATR,514:03:14:59,46:17:44:59,-993,00:02:35:12
ATT,482:19:02:48,80:11:10:28,-920,00:02:14:48
ATUF,533:03:00:27,66:15:22:33,-790,00:02:12:06
ATX,533:17:13:04,48:12:28:27,-813,00:02:25:06
AU,542:07:55:42,19:08:51:16,-994,00:02:39:47
AUC,553:11:57:12,29:03:09:19,-975,00:02:37:38
AUEB,474:06:23:29,67:18:03:21,-849,00:02:37:29
AUI,567:17:44:33,70:23:13:04,-376,00:02:03:19
AUII,534:13:35:07,59:09:30:34,-963,00:02:41:18
AUO,427:11:21:36,53:10:25:12,-727,00:02:28:22
AUX,471:20:09:54,42:21:28:10,-975,00:02:38:19
AV,540:22:51:55,20:19:20:27,-924,00:02:44:11
AVHD,314:11:10:37,62:21:26:07,-742,00:02:39:13
AVJD,527:23:37:50,75:10:13:58,-941,00:02:28:08
AVP,312:11:40:41,78:02:55:10,-184,00:02:42:14
AVW,490:17:07:39,49:01:42:45,-797,00:02:28:12
AVXW,479:17:21:35,43:14:40:08,-974,00:02:36:58
AW,568:15:09:57,08:14:46:30,-915,00:02:46:01
AWB,364:22:18:59,182:11:09:29,-241,00:01:29:21
AWIZ,509:07:24:49,50:22:20:28,-849,00:02:37:35
AWR,552:11:04:49,69:01:23:06,-884,00:02:17:06
AWW,212:13:00:34,53:03:15:08,-501,00:02:33:22
AWZ,498:19:26:51,99:18:17:22,-934,00:02:28:24
AX,545:09:47:14,05:07:05:07,-953,00:02:46:21
AXG,535:23:46:38,48:17:26:03,-956,00:02:46:25
AXGX,522:19:54:12,30:18:06:43,-756,00:02:14:37
AXP,488:09:30:35,81:09:35:05,-921,00:01:49:55
AXS,540:23:02:29,45:01:55:12,-815,00:02:40:17
AXVE,410:09:32:50,41:00:57:17,-958,00:02:29:58
AXYY,528:05:25:15,75:11:03:36,-535,00:02:39:21
AYDY,561:17:08:22,93:14:51:23,-357,00:02:14:49
AYF,475:17:12:12,31:17:08:48,-998,00:02:27:40
AYGA,533:01:27:49,44:10:07:19,-959,00:02:46:24
AYHS,536:04:18:04,76:14:19:43,-930,00:02:45:19
AYK,444:18:02:14,63:12:51:44,-848,00:02:41:28
AYLV,509:04:44:43,72:17:49:14,-749,00:01:52:09
AYM,504:17:45:03,36:01:16:04,-791,00:02:26:11
AYQ,526:23:38:44,65:20:57:20,-707,00:02:33:46
AYRN,441:08:23:41,36:18:41:58,-988,00:02:46:20
AYU,538:02:41:54,35:20:58:47,-955,00:01:56:31
AYXQ,381:02:46:53,34:15:31:32,-770,00:02:32:01
AZ,432:14:04:33,21:15:06:13,-918,00:02:38:43
AZAP,436:14:18:43,109:03:34:40,-599,00:02:25:06
AZD,503:03:50:50,20:23:09:37,-913,00:02:29:34
AZFU,297:19:53:25,33:02:12:36,-833,00:02:40:19
AZH,486:06:01:39,44:04:54:41,-842,00:02:41:38
AZHN,472:04:10:00,94:10:26:00,-478,00:02:12:21
AZO,471:18:47:03,52:10:05:13,-998,00:02:34:57
AZOI,486:09:37:44,60:19:12:13,-661,00:02:33:58
AZR,505:08:30:34,28:01:48:21,-915,00:02:42:38
AZV,437:03:34:59,39:17:46:49,-726,00:02:41:11
B,578:17:32:52,00:12:14:53,-1000,00:02:46:37
BA,575:03:41:37,09:06:38:24,-978,00:02:46:21
BABI,426:11:21:35,38:18:29:14,-629,00:02:04:21
BABR,521:21:07:38,57:23:40:50,-754,00:02:38:11
BAE,553:17:49:46,55:08:58:58,-880,00:02:33:22
BAIB,556:11:09:28,46:08:55:47,-553,00:02:26:27
BAJ,546:03:44:49,91:00:37:28,-998,00:01:23:54
BALZ,491:01:32:03,98:05:06:24,-958,00:02:27:39
BAU,443:16:10:04,110:22:02:31,-816,00:01:55:56
BAX,524:18:25:08,40:08:48:05,-790,00:01:45:31
BAY,487:16:09:04,81:06:41:30,-901,00:02:26:13
BB,503:18:46:40,38:18:03:35,-938,00:02:22:57
BBBO,547:22:46:55,68:11:50:51,-965,00:02:42:50
BBK,379:16:53:38,54:05:50:31,-891,00:02:05:33
BBM,520:12:01:49,47:07:38:20,-977,00:02:35:13
BBR,500:12:01:35,41:17:00:07,-925,00:02:33:56
BC,556:15:04:12,09:18:22:10,-948,00:02:45:31
BCBK,531:20:40:55,37:23:45:46,-885,00:02:35:49
BCBP,443:14:08:19,44:08:36:49,-913,00:02:29:21
BCCU,520:18:30:51,57:20:43:25,-932,00:02:20:07
BCIR,562:04:32:09,46:20:22:40,-898,00:02:31:58
BCM,488:14:45:55,69:19:15:07,-867,00:01:45:05
BCOD,559:19:46:25,55:23:34:38,-863,00:02:44:46
BCQP,545:04:13:20,28:16:38:35,-902,00:02:31:47
BCS,395:03:29:27,35:22:08:07,-986,00:02:41:47
BD,524:06:46:24,10:01:58:35,-997,00:02:46:31
BDIZ,281:06:59:17,56:06:11:51,-474,00:02:28:56
BDJ,551:19:44:37,61:07:31:37,-868,00:02:05:09
BDKE,344:17:35:11,57:10:55:51,-717,00:02:23:30
BDKJ,450:22:52:44,90:04:34:32,-544,00:02:24:21
BDT,487:12:00:11,54:04:00:01,-893,00:02:40:31
BDX,540:11:43:05,21:14:52:07,-970,00:02:44:16
BDZ,543:15:26:02,49:10:07:49,-792,00:02:34:12
BE,526:22:45:04,13:12:16:32,-983,00:02:45:11
BECU,471:02:41:08,58:21:20:08,-755,00:02:25:25
BEFH,566:03:32:35,70:18:26:34,-960,00:02:19:35
BETM,359:09:41:08,44:22:12:38,-979,00:02:44:02
BEVQ,575:07:49:28,44:06:08:25,-918,00:02:43:06
BF,566:23:32:18,11:19:29:25,-992,00:02:43:54
BFFD,372:20:45:23,33:21:31:23,-834,00:02:27:14
BFP,521:08:11:01,43:10:40:55,-764,00:02:24:46
BFV,363:11:48:43,51:22:15:31,-537,00:02:34:16
BFX,434:16:22:37,86:22:28:31,-927,00:02:38:53
BG,552:05:56:07,17:06:11:07,-914,00:02:23:07
BGFP,501:05:16:58,62:15:39:37,-807,00:01:57:46
BGJ,468:16:52:23,31:05:55:29,-933,00:02:43:29
BGJT,449:23:47:59,64:06:49:42,-945,00:02:19:38
BGPK,446:01:28:43,31:20:40:37,-833,00:02:44:05
BGPR,493:15:02:18,82:06:30:23,-944,00:01:30:11
BGQS,409:06:26:18,102:07:36:34,-448,00:02:34:18
BGV,348:15:40:36,49:19:22:56,-998,00:02:14:40
BH,381:02:46:10,47:15:20:46,-786,00:02:39:19
BHA,491:17:43:05,44:16:53:00,-708,00:02:38:04
BHAU,100:20:28:06,50:10:14:03,0,00:00:27:38
BHR,445:10:02:33,63:15:08:56,-632,00:02:44:47
BHTL,461:01:34:59,51:05:30:33,-861,00:02:32:25
BHV,536:11:00:22,41:06:23:06,-989,00:02:30:14
BHX,486:20:32:18,37:10:48:38,-954,00:02:30:26
BI,560:16:08:45,12:04:31:29,-930,00:02:44:27
BIG,541:01:21:52,90:04:13:38,-936,00:02:34:36
BIHK,405:19:21:03,45:02:09:00,-887,00:02:28:25
BIIR,352:22:34:41,117:15:31:33,-765,00:01:41:27
BIKY,548:10:57:03,68:13:22:07,-799,00:02:46:13
BIP,538:16:53:23,33:16:03:20,-991,00:02:32:18
BIQ,442:19:15:31,73:19:12:35,-959,00:02:43:36
BIQC,527:05:09:09,75:07:35:35,-778,00:02:24:48
BIU,522:02:28:38,37:07:02:02,-800,00:02:28:17
BIY,551:12:03:57,78:18:51:59,-902,00:01:57:45
BJ,562:12:11:02,18:18:00:22,-997,00:02:45:30
BJBW,507:03:24:07,39:00:15:42,-809,00:02:37:13
BJD,457:19:33:27,35:05:11:48,-985,00:02:41:22
BJDL,479:13:34:09,53:06:50:27,-881,00:02:44:46
BJJM,523:14:07:52,52:08:36:47,-874,00:02:06:09
BJLL,317:17:57:14,63:13:11:26,-966,00:02:45:35
BJO,322:08:27:42,64:11:17:32,-264,00:02:28:24
BJX,485:00:53:39,121:06:13:24,-631,00:01:36:02
BK,507:15:48:42,21:03:39:31,-871,00:02:38:51
BKGL,363:12:04:34,90:21:01:08,-948,00:02:00:10
BKI,566:02:12:26,94:08:22:04,-928,00:01:04:20
BKJM,440:03:00:17,73:08:30:02,-577,00:02:39:01
BKLK,565:22:56:49,141:11:44:12,-959,00:01:34:08
BKNB,533:00:44:44,53:07:16:28,-927,00:02:38:51
BKOS,434:05:00:01,48:05:53:20,-997,00:02:17:05
BKUA,565:11:22:00,62:19:55:46,-914,00:02:38:04
BKY,447:00:54:44,37:06:04:33,-822,00:02:37:51
BKZT,483:15:21:11,48:08:44:07,-934,00:02:36:28
BL,558:14:50:29,37:05:47:21,-962,00:02:40:39
BLKV,521:11:20:01,47:09:45:27,-993,00:02:33:49
BLN,478:04:13:21,36:18:47:10,-930,00:02:44:52
BLV,501:13:01:09,50:03:42:06,-956,00:02:38:22
BLXF,467:15:10:23,33:09:39:18,-920,00:02:33:03
BLY,469:07:52:55,26:01:46:16,-879,00:02:35:23
BLZH,565:17:34:47,80:19:39:15,-998,00:02:39:25
BM,568:18:05:47,07:02:37:34,-983,00:02:45:20
BMJZ,430:12:41:31,47:20:04:36,-862,00:02:38:30
BMK,543:06:34:45,67:21:49:20,-535,00:02:27:59
BMM,547:22:04:38,39:03:17:28,-873,00:02:03:22
BMN,475:14:07:15,118:21:31:48,-550,00:02:30:13
BMU,227:02:39:59,45:10:07:59,-467,00:02:36:00
BMW,512:18:21:37,56:23:22:24,-687,00:02:30:35
BMX,512:02:22:28,46:13:18:24,-941,00:02:44:14
BMXK,395:04:47:46,39:12:28:46,-683,00:02:39:28
BN,540:22:15:13,13:04:38:25,-948,00:02:44:39
BNA,537:14:34:27,21:12:06:10,-986,00:02:39:46
BNCI,554:09:18:23,46:04:46:31,-920,00:02:06:15
BND,476:01:08:20,47:14:30:50,-966,00:02:39:13
BNH,449:04:07:06,74:20:41:11,-906,00:02:18:09
BNL,490:05:40:21,98:01:08:04,-844,00:02:33:05
BNNE,501:06:24:23,41:18:32:01,-996,00:02:32:09
BNU,338:06:39:05,33:19:51:54,-962,00:02:37:07
BNZ,469:10:01:31,46:22:36:09,-849,00:02:44:51
BO,566:01:37:16,09:10:25:37,-999,00:02:41:22
BOHH,293:19:26:06,48:23:14:21,-864,00:02:45:09
BOIT,556:01:46:45,46:08:08:53,-947,00:02:29:26
BOMW,495:17:05:26,55:01:53:56,-698,00:02:43:00
BOMZ,452:01:43:09,50:05:31:27,-776,00:02:39:28
BON,543:05:15:47,67:21:39:28,-790,00:02:29:05
BOO,494:08:35:33,54:22:17:17,-860,00:02:33:44
BOOV,542:20:27:25,49:08:24:18,-666,00:02:25:28
BOR,501:01:16:51,83:12:12:48,-998,00:02:41:03
BOXD,453:17:20:44,34:21:38:31,-964,00:02:44:09
BP,554:14:06:52,13:04:54:26,-994,00:02:45:30
BPA,543:15:09:29,54:08:42:56,-933,00:02:28:32
BPDK,412:12:07:19,82:12:01:27,-1000,00:02:07:44
BPJ,381:08:40:11,38:03:16:01,-984,00:02:28:09
BPK,479:07:24:48,47:22:20:28,-965,00:02:20:15
BPSI,527:21:43:58,52:18:58:23,-939,00:02:37:39
BPVK,489:06:39:33,81:13:06:35,-466,00:02:43:52
BQ,554:13:16:52,23:02:33:12,-963,00:02:32:39
BQAA,490:18:46:44,98:03:45:20,-858,00:02:33:26
BQF,497:09:37:34,45:05:14:19,-878,00:02:28:02
BQK,397:09:37:45,26:11:50:31,-811,00:02:36:34
BQM,554:17:20:54,36:23:33:23,-929,00:02:38:28
BQX,460:03:29:36,51:03:03:17,-718,00:02:37:50
BQZ,475:07:12:23,47:12:43:14,-968,00:02:35:31
BR,570:14:34:18,07:03:10:55,-987,00:02:44:09
BRHW,445:01:59:22,63:13:59:54,-976,00:02:09:27
BRL,568:14:04:26,81:05:26:20,-990,00:02:36:57
BRSU,525:02:17:29,58:08:15:16,-590,00:02:38:56
BS,575:09:24:51,07:11:20:34,-989,00:02:45:41
BSES,535:18:57:40,59:12:46:24,-877,00:02:44:27
BSF,452:22:01:37,45:07:00:09,-952,00:02:20:53
BSFY,407:04:40:50,58:04:05:50,-852,00:02:09:57
BSGA,549:17:31:55,54:23:21:11,-875,00:02:02:01
BSN,292:11:19:52,26:14:07:15,-970,00:02:11:41
BSOM,493:13:21:18,61:16:40:09,-772,00:02:28:32
BSR,445:10:01:41,37:02:50:08,-922,00:02:43:03
BST,523:16:07:17,58:04:27:28,-911,00:02:28:13
BSV,561:18:36:47,80:06:05:15,-701,00:02:35:43
BSZW,518:12:43:53,51:20:28:23,-821,00:02:30:05
BT,573:00:19:00,15:01:54:11,-948,00:02:44:36
BTB,516:08:52:11,46:22:37:28,-919,00:02:45:39
BTEC,214:15:19:55,35:18:33:19,-987,00:02:37:41
BTI,351:16:16:09,39:01:48:27,-516,00:02:46:21
BTMR,477:15:15:37,68:05:36:31,-992,00:02:12:28
BTP,349:11:06:08,116:11:42:02,-804,00:00:59:07
BTR,353:12:11:11,29:11:00:55,-944,00:02:29:22
BU,448:02:08:07,23:14:00:25,-947,00:02:46:15
BUHL,502:23:40:28,45:17:25:29,-972,00:02:43:43
BUM,55:22:02:10,27:23:01:05,-300,00:02:09:47
BUQ,500:22:37:44,55:15:50:51,-778,00:02:26:38
BUR,543:11:54:37,41:19:22:39,-950,00:02:35:37
BURE,499:04:09:44,38:09:33:03,-972,00:02:21:54
BUW,572:17:18:22,57:06:31:50,-515,00:02:43:57
BV,544:22:30:45,15:13:40:18,-864,00:02:42:54
BVB,457:01:30:16,76:04:15:02,-947,00:02:34:57
BVHQ,468:05:51:16,93:15:34:15,-726,00:01:48:20
BVM,539:06:01:58,77:00:51:42,-913,00:01:57:49
BVP,376:01:02:10,62:16:10:21,-835,00:02:39:01
BVPX,491:04:57:36,70:04:08:13,-759,00:02:45:00
BVQ,306:00:05:54,51:00:00:59,-755,00:01:31:09
BVSK,540:22:26:29,77:06:38:04,-239,00:02:32:37
BVUF,302:08:41:30,37:19:05:11,-923,00:02:35:21
BVUL,434:18:26:57,72:11:04:29,-808,00:02:40:10
BW,557:15:01:07,12:02:56:06,-921,00:02:38:02
BWA,522:01:01:04,52:04:54:06,-937,00:02:44:43
BWKI,287:14:41:43,41:02:05:57,-562,00:02:00:50
BWU,326:08:13:39,25:02:28:44,-997,00:02:43:01
BWVW,532:17:33:34,76:02:30:30,-1000,00:02:46:03
BWXN,568:16:39:23,94:18:46:33,-870,00:02:40:42
BWZ,262:20:24:20,29:04:56:02,-686,00:02:26:37
BWZD,490:09:58:57,49:00:59:53,-188,00:02:34:17
BX,564:02:48:07,17:15:05:15,-979,00:02:41:21
BXB,568:12:52:51,29:22:09:05,-973,00:02:31:48
BXGS,506:16:30:28,72:09:12:55,-987,00:02:42:54
BXK,444:16:00:38,55:14:00:04,-884,00:02:44:54
BXL,489:06:54:19,81:13:09:03,-903,00:01:51:31
BXMY,514:09:40:49,85:17:36:48,-957,00:02:22:53
BXO,404:11:07:02,40:10:42:42,-625,00:02:05:42
BXQ,546:14:40:45,91:02:26:47,-282,00:02:44:12
BXVV,375:21:03:48,41:18:20:25,-973,00:02:30:58
BXXU,521:23:56:06,37:06:51:09,-1000,00:02:42:43
BY,551:22:59:48,08:11:47:59,-969,00:02:45:51
BYB,541:01:13:49,54:02:31:22,-623,00:02:08:12
BYKD,315:11:43:34,45:01:40:30,-868,00:02:37:03
BYRM,495:12:42:41,24:18:38:08,-900,00:02:35:01
BZ,550:07:59:10,11:23:07:48,-996,00:02:38:23
BZD,468:04:37:05,78:00:46:10,-828,00:01:39:07
BZDX,430:15:32:55,86:03:06:35,-782,00:02:43:34
BZG,499:06:30:22,99:20:30:04,-626,00:02:07:27
BZNE,414:15:03:34,69:02:30:35,-879,00:02:35:05
BZNM,168:04:22:52,28:00:43:48,-819,00:02:12:27
BZSG,545:07:19:55,54:12:43:59,-1000,00:02:11:50
BZTZ,48:12:08:52,48:12:08:52,-624,00:02:37:38
C,577:08:13:38,00:12:55:32,-1000,00:02:46:34
CA,569:01:43:10,14:05:26:34,-879,00:02:46:35
CAH,535:02:28:58,33:10:39:18,-984,00:02:29:29
CAIR,440:16:49:35,40:01:31:46,-968,00:02:22:52
CAJC,476:13:25:12,59:13:40:39,-780,00:02:46:04
CAYL,462:06:00:56,51:08:40:06,-631,00:02:35:22
CB,555:22:05:29,46:07:50:27,-851,00:02:45:00
CBA,557:00:45:22,61:21:25:02,-823,00:02:43:18
CBC,493:23:15:35,29:01:22:05,-894,00:02:43:41
CBE,441:15:34:14,49:01:43:48,-909,00:02:41:28
CBEB,536:14:37:49,53:15:51:46,-990,00:02:39:53
CBT,494:02:52:46,30:21:10:47,-986,00:02:38:47
CBXM,452:15:02:23,75:10:30:23,-943,00:02:30:39
CC,502:12:09:57,21:20:21:18,-957,00:02:44:39
CCA,470:20:24:07,67:06:20:35,-836,00:02:42:03
CCYG,485:01:08:44,48:12:06:52,-831,00:02:31:25
CD,501:11:15:40,15:04:42:17,-995,00:02:45:15
CDCF,501:01:49:12,50:02:34:55,-927,00:02:36:16
CDP,396:04:24:49,33:00:22:04,-1000,00:02:38:57
CDQX,502:21:34:29,50:06:57:26,-824,00:02:44:18
CDU,546:04:13:47,54:14:49:22,-714,00:02:19:27
CDVZ,561:14:12:32,51:01:17:30,-972,00:02:29:06
CDWO,282:23:11:41,40:10:10:14,-720,00:02:25:29
CE,534:11:30:15,25:10:50:00,-907,00:02:12:58
CEIX,519:11:53:38,51:22:47:21,-983,00:02:43:07
CER,452:21:29:04,45:06:56:54,-473,00:02:09:56
CERB,493:18:03:57,44:21:16:43,-905,00:02:23:14
CEUP,531:01:19:04,44:06:06:35,-860,00:02:43:23
CEXB,554:22:53:45,69:08:51:43,-878,00:02:40:03
CEY,502:10:37:17,71:18:39:36,-522,00:02:32:43
CF,554:22:08:41,09:17:39:05,-903,00:02:45:53
CFDP,520:13:43:40,47:07:47:36,-858,00:02:44:27
